Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
32628997,6/21/2017 20:33,6/21/2017 20:38,70435,278,1000,Liberty Ave & Stanwix St,1003,First Ave & Smithfield St (Art Institute),Subscriber
32629005,6/21/2017 20:33,6/21/2017 21:31,70403,3474,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),Customer
32629051,6/21/2017 20:41,6/21/2017 21:01,70118,1207,1061,33rd St and Penn Ave,1011,Fort Duquesne Blvd & 7th St,Subscriber
32629148,6/21/2017 20:52,6/21/2017 21:06,70259,837,1028,Penn Ave & Putnam St (Bakery Square),1027,Shady Ave & Ellsworth Ave,Subscriber
32629222,6/21/2017 21:03,6/22/2017 9:57,70430,46433,1028,Penn Ave & Putnam St (Bakery Square),1029,Alder St & S Highland Ave,Customer
32629360,6/21/2017 21:27,6/21/2017 21:39,70022,719,1045,S 27th St & Sidney St. (Southside Works),1049,S 12th St & E Carson St,Subscriber
32629391,6/21/2017 21:32,6/21/2017 22:13,70438,2461,1002,Third Ave & Wood St,1002,Third Ave & Wood St,Customer
32629402,6/21/2017 21:35,6/22/2017 9:58,70220,44608,1000,Liberty Ave & Stanwix St,1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
32629531,6/21/2017 21:52,6/21/2017 22:14,70456,1330,1025,Penn Ave & N Fairmount St,1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
32629547,6/21/2017 21:53,6/21/2017 22:00,70097,408,1002,Third Ave & Wood St,1013,Isabella St & Federal St (PNC Park),Subscriber
32629620,6/21/2017 22:10,6/21/2017 22:19,70498,564,1049,S 12th St & E Carson St,1047,S 22nd St & E Carson St,Subscriber
32629690,6/21/2017 22:22,6/21/2017 22:29,70164,457,1027,Shady Ave & Ellsworth Ave,1028,Penn Ave & Putnam St (Bakery Square),Subscriber
32629692,6/21/2017 22:22,6/21/2017 22:29,70257,416,1027,Shady Ave & Ellsworth Ave,1028,Penn Ave & Putnam St (Bakery Square),Subscriber
32629807,6/21/2017 22:43,6/21/2017 23:01,70363,1101,1033,Ivy St & Walnut St   ,1031,Maryland Ave & Ellsworth Ave,Customer
32629900,6/21/2017 23:00,6/21/2017 23:38,70190,2268,1013,Isabella St & Federal St (PNC Park),1013,Isabella St & Federal St (PNC Park),Customer
32629933,6/21/2017 23:04,6/21/2017 23:18,70109,831,1048,S 18th St & Sidney St,1008,Centre Ave & PPG Paints Arena,Customer
32629943,6/21/2017 23:05,6/21/2017 23:10,70269,257,1045,S 27th St & Sidney St. (Southside Works),1047,S 22nd St & E Carson St,Subscriber
32629946,6/21/2017 23:06,6/21/2017 23:19,70384,806,1033,Ivy St & Walnut St   ,1025,Penn Ave & N Fairmount St,Customer
32629985,6/21/2017 23:10,6/21/2017 23:31,70050,1241,1047,S 22nd St & E Carson St,1013,Isabella St & Federal St (PNC Park),Subscriber
32630553,6/22/2017 0:08,6/22/2017 0:14,70107,364,1041,Fifth Ave & S Bouquet St,1043,Coltart Ave & Forbes Ave,Customer
32630617,6/22/2017 0:12,6/22/2017 0:14,70500,82,1764,ASCEND Pittsburgh,1764,ASCEND Pittsburgh,Customer
32630758,6/22/2017 0:20,6/22/2017 0:33,70084,781,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),1031,Maryland Ave & Ellsworth Ave,Subscriber
32638386,6/22/2017 2:34,6/22/2017 2:45,70025,642,1033,Ivy St & Walnut St   ,1020,42nd & Penn Ave.,Subscriber
32647379,6/22/2017 4:56,6/22/2017 5:18,70257,1279,1028,Penn Ave & Putnam St (Bakery Square),1041,Fifth Ave & S Bouquet St,Subscriber
32648748,6/22/2017 5:22,6/22/2017 5:32,70109,596,1008,Centre Ave & PPG Paints Arena,1048,S 18th St & Sidney St,Customer
